round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,1,6,0,0,6,920088,3.342862844467163,3.5770879983901978,0,
2,7,0,7,0,0,7,1073436,3.15240478515625,3.4021807670593263,0,
3,7,2,5,0,0,5,766740,2.4718124866485596,2.549234914779663,0,
4,7,0,7,0,0,7,1073436,1.9074727296829224,1.9616266012191772,0,
5,7,1,6,0,0,6,920088,0.6022866368293762,0.9532497525215149,0,
6,7,1,6,0,0,6,920088,0.542677253484726,0.8592395782470703,0,
7,7,1,6,0,0,6,920088,0.5646020770072937,0.898789644241333,0,
8,7,0,7,0,0,7,1073436,0.7743805646896362,0.8303939819335937,0,
9,7,0,7,0,0,7,1073436,0.7397675514221191,0.9239487051963807,0,
10,7,0,7,0,0,7,1073436,0.7179120779037476,1.1883105278015138,0,
11,7,0,7,0,0,7,1073436,0.8957937359809875,1.0353020906448365,0,
12,7,0,7,0,0,7,1073436,0.9729129076004028,1.051298975944519,0,
13,7,0,7,0,0,7,1073436,0.7686870098114014,1.0168159484863282,0,
14,7,1,6,0,0,6,920088,0.9128400683403015,1.1018592715263367,0,
15,7,0,7,0,0,7,1073436,0.9950217008590698,1.080873394012451,0,
16,7,1,6,0,0,6,920088,0.8253496885299683,1.1218910813331604,0,
17,7,1,6,0,0,6,920088,1.1358631253242493,1.3081897497177124,0,
18,7,2,5,0,0,5,766740,1.0728857517242432,1.1750728130340575,0,
19,7,2,5,0,0,5,766740,0.9024990797042847,1.1116515874862671,0,
20,7,3,4,0,0,4,613392,1.1540140509605408,1.2302833795547485,0,
21,7,1,6,0,0,6,920088,1.4478315114974976,1.5605458617210388,0,
22,7,2,5,0,0,5,766740,0.91944420337677,1.292533779144287,0,
23,7,1,6,0,0,6,920088,1.0865634083747864,1.58111172914505,0,
24,7,3,4,0,0,4,613392,1.1937935650348663,1.4921098709106446,0,
25,7,0,7,0,0,7,1073436,0.6860607266426086,0.8364996790885926,0,
26,7,0,7,0,0,7,1073436,0.7046731114387512,1.0426318645477295,0,
27,7,2,5,0,0,5,766740,0.6374925971031189,0.7879185557365418,0,
28,7,0,7,0,0,7,1073436,0.8562897443771362,1.1268784523010253,0,
29,7,0,7,0,0,7,1073436,0.6300857663154602,0.7340822100639344,0,
30,7,0,7,0,0,7,1073436,0.6183484196662903,0.660851001739502,0,
31,7,2,5,0,0,5,766740,0.5942094922065735,0.6310343742370605,0,
32,7,0,7,0,0,7,1073436,0.610891580581665,0.6940110445022584,0,
33,7,0,7,0,0,7,1073436,0.5660399794578552,0.7702045798301698,0,
34,7,1,6,0,0,6,920088,0.5730001330375671,0.6667065918445587,0,
35,7,0,7,0,0,7,1073436,0.6016124486923218,0.7792193174362183,0,
36,7,1,6,0,0,6,920088,0.6069425046443939,0.6413269639015198,0,
37,7,0,7,0,0,7,1073436,0.5583057999610901,0.6772039890289306,0,
38,7,1,6,0,0,6,920088,0.5462201833724976,0.6330782175064087,0,
39,7,0,7,0,0,7,1073436,0.5828511118888855,0.6015630006790161,0,
40,7,1,6,0,0,6,920088,0.5417954325675964,0.6557213366031647,0,
41,7,1,6,0,0,6,920088,0.539564698934555,0.6733434200286865,0,
42,7,3,4,0,0,4,613392,0.5882088541984558,0.6222743928432465,0,
43,7,0,7,0,0,7,1073436,0.6161727905273438,0.7208655118942261,0,
44,7,0,7,0,0,7,1073436,0.624453067779541,0.7456225395202637,0,
45,7,2,5,0,0,5,766740,0.6267271637916565,0.7220347046852111,0,
46,7,1,6,0,0,6,920088,0.6200613975524902,0.6764177083969116,0,
47,7,0,7,0,0,7,1073436,0.6266791820526123,0.6761582374572754,0,
48,7,0,7,0,0,7,1073436,0.5688774585723877,0.7125637292861938,0,
49,7,0,7,0,0,7,1073436,0.6080820560455322,0.6986575245857238,0,
50,7,0,7,0,0,7,1073436,0.5648199915885925,0.7321340680122376,0,
51,7,0,7,0,0,7,1073436,0.5857611298561096,0.7547144293785095,0,
52,7,1,6,0,0,6,920088,0.5702965259552002,0.6464082896709442,0,
53,7,0,7,0,0,7,1073436,0.5631970167160034,0.6903565764427185,0,
54,7,1,6,0,0,6,920088,0.6306782960891724,0.7426842749118805,0,
55,7,1,6,0,0,6,920088,0.5878430306911469,0.6868767738342285,0,
56,7,1,6,0,0,6,920088,0.628034383058548,0.7049584090709686,0,
57,7,1,6,0,0,6,920088,0.5974771082401276,0.7355675995349884,0,
58,7,0,7,0,0,7,1073436,0.5736148357391357,0.7233424067497254,0,
59,7,1,6,0,0,6,920088,0.5710799098014832,0.7068710625171661,0,
60,7,2,5,0,0,5,766740,0.6716062426567078,0.7377835631370544,0,
61,7,1,6,0,0,6,920088,0.6019773483276367,0.6798480153083801,0,
62,7,0,7,0,0,7,1073436,0.5616381764411926,0.6277093887329102,0,
63,7,0,7,0,0,7,1073436,0.6111810803413391,0.7069264054298401,0,
64,7,2,5,0,0,5,766740,0.5502533912658691,0.5813034176826477,0,
65,7,0,7,0,0,7,1073436,0.6384752988815308,0.7718996405601501,0,
66,7,0,7,0,0,7,1073436,0.6202356815338135,0.6803154110908508,0,
67,7,1,6,0,0,6,920088,0.5947200953960419,0.6979193389415741,0,
68,7,0,7,0,0,7,1073436,0.6490961313247681,0.7955940127372741,0,
69,7,0,7,0,0,7,1073436,0.6322286128997803,0.6768068194389344,0,
70,7,1,6,0,0,6,920088,0.6052954792976379,0.6850372552871704,0,
71,7,0,7,0,0,7,1073436,0.5823367834091187,0.813833248615265,0,
72,7,0,7,0,0,7,1073436,0.5894965529441833,0.7752753853797912,0,
73,7,1,6,0,0,6,920088,0.5874908268451691,0.667285680770874,0,
74,7,1,6,0,0,6,920088,0.6208543479442596,0.7232733368873596,0,
75,7,0,7,0,0,7,1073436,0.6033698320388794,0.7207975506782532,0,
76,7,1,6,0,0,6,920088,0.6381095349788666,0.7067720592021942,0,
77,7,0,7,0,0,7,1073436,0.6380502581596375,0.6960608959197998,0,
78,7,0,7,0,0,7,1073436,0.7043401598930359,0.7704416394233704,0,
79,7,0,7,0,0,7,1073436,0.6458780169487,0.710725998878479,0,
80,7,1,6,0,0,6,920088,0.6261061131954193,0.6971551775932312,0,
81,7,0,7,0,0,7,1073436,0.5967263579368591,0.6783783078193665,0,
82,7,0,7,0,0,7,1073436,0.6676194071769714,0.7394935131072998,0,
83,7,0,7,0,0,7,1073436,0.5788419842720032,0.717748486995697,0,
84,7,0,7,0,0,7,1073436,0.6021387577056885,0.6916023850440979,0,
85,7,1,6,0,0,6,920088,0.6031427681446075,0.6796424388885498,0,
86,7,1,6,0,0,6,920088,0.6597032845020294,0.7113610208034515,0,
87,7,2,5,0,0,5,766740,0.5703465938568115,0.7051705956459046,0,
88,7,1,6,0,0,6,920088,0.6005911529064178,0.7152231633663177,0,
89,7,0,7,0,0,7,1073436,0.6820055842399597,0.7805466771125794,0,
90,7,1,6,0,0,6,920088,0.6138221323490143,0.7215484976768494,0,
91,7,0,7,0,0,7,1073436,0.6497138142585754,0.7905708909034729,0,
92,7,0,7,0,0,7,1073436,0.656614363193512,0.7015355825424194,0,
93,7,1,6,0,0,6,920088,0.6352373957633972,0.7243166267871857,0,
94,7,0,7,0,0,7,1073436,0.6006127595901489,0.6701806426048279,0,
95,7,0,7,0,0,7,1073436,0.646426796913147,0.7179910778999329,0,
96,7,0,7,0,0,7,1073436,0.594310998916626,0.6837224006652832,0,
97,7,0,7,0,0,7,1073436,0.707196056842804,0.7547632098197937,0,
98,7,0,7,0,0,7,1073436,0.6586162447929382,0.7459587216377258,0,
99,7,0,7,0,0,7,1073436,0.6192402243614197,0.753130030632019,0,
100,7,2,5,0,0,5,766740,0.6045874953269958,0.667796003818512,0,
