round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,0,7,0,0,7,125870,3.924330711364746,4.269474029541016,0,
2,7,0,7,0,0,7,126910,4.139474391937256,4.463694477081299,0,
3,7,0,7,0,0,7,126595,3.5894556045532227,4.024837398529053,0,
4,7,1,6,0,1,6,108625,3.0721309185028076,3.1588640213012695,0,
5,7,0,7,0,3,7,126785,2.747354745864868,2.873004102706909,0,
6,7,2,5,1,2,4,72660,2.1674234867095947,2.565248727798462,0,
7,7,2,5,0,3,5,90830,2.330653667449951,2.430202674865723,0,
8,7,0,7,0,2,7,127130,1.6166304349899292,1.823457932472229,0,
9,7,1,6,2,0,4,72650,1.2333727478981018,1.361213743686676,0,
10,7,0,7,0,2,7,126985,1.4048922061920166,2.284734058380127,0,
11,7,0,7,0,2,7,127090,1.1394739151000977,1.6939900398254397,0,
12,7,1,6,0,0,6,108980,1.0221319496631622,1.1082608103752136,0,
13,7,1,6,1,0,5,90810,0.8689529001712799,1.188222348690033,0,
14,7,1,6,0,0,6,108965,0.8993560373783112,1.1026272177696228,0,
15,7,0,7,1,1,6,108995,0.9652965664863586,1.2361385583877564,0,
16,7,0,7,1,0,6,108995,0.9558735489845276,1.0928794980049135,0,
17,7,0,7,0,0,7,127160,1.0589972734451294,1.187069058418274,0,
18,7,0,7,0,0,7,127170,1.0344120264053345,1.352632761001587,0,
19,7,1,6,0,0,6,109005,1.2112295031547546,1.443030834197998,0,
20,7,0,7,0,0,7,127140,1.0124213695526123,1.5776076316833498,0,
21,7,1,6,0,1,6,109015,1.1986925601959229,1.4350572228431702,0,
22,7,0,7,0,0,7,127150,1.066423773765564,1.2803513288497927,0,
23,7,1,6,0,0,6,108990,0.9952851235866547,1.3236066699028015,0,
24,7,0,7,0,1,7,127160,1.0641156435012817,1.4620842933654785,0,
25,7,1,6,0,1,6,108990,0.8805333375930786,1.4072682857513428,0,
26,7,2,5,0,1,5,90840,1.148829460144043,1.1956013441085815,0,
27,7,1,6,0,1,6,108990,0.9506450891494751,1.146190345287323,0,
28,7,1,6,0,0,6,109000,1.0952754616737366,1.1768444776535034,0,
29,7,3,4,0,1,4,72655,1.0355224013328552,1.062800943851471,0,
30,7,0,7,0,0,7,127170,0.9389451146125793,1.1794808626174929,0,
31,7,0,7,0,0,7,127145,1.0468964576721191,1.1998576164245605,0,
32,7,0,7,0,1,7,127165,0.9360456466674805,1.2283056497573852,0,
33,7,1,6,0,0,6,108995,0.9315093755722046,1.0086994171142578,0,
34,7,1,6,0,0,6,108985,1.1301348209381104,1.2335700988769531,0,
35,7,0,7,0,0,7,127145,1.137263298034668,1.3629969358444214,0,
36,7,1,6,0,0,6,108990,1.1260339617729187,1.2840782403945923,0,
37,7,0,7,0,0,7,127165,0.9508324265480042,1.2377676248550415,0,
38,7,3,4,0,0,4,72675,1.1290894746780396,1.4428971409797668,0,
39,7,1,6,0,1,6,109005,0.9062216579914093,1.1102558970451355,0,
40,7,0,7,0,1,7,127155,1.2078746557235718,1.393839144706726,0,
41,7,0,7,0,0,7,127145,1.0890719890594482,1.166613507270813,0,
42,7,0,7,0,0,7,127155,0.8673271536827087,1.1790818691253662,0,
43,7,0,7,0,0,7,127155,0.9033629894256592,1.42039954662323,0,
44,7,2,5,0,1,5,90830,1.0807101726531982,1.0958897113800048,0,
45,7,1,6,0,0,6,108995,1.00924813747406,1.1123499870300293,0,
46,7,2,5,0,0,5,90830,0.8349249362945557,1.0661848306655883,0,
47,7,1,6,0,1,6,108975,0.917901486158371,1.0028716921806335,0,
48,7,0,7,0,0,7,127150,0.8753159046173096,0.9586965084075928,0,
49,7,0,7,0,0,7,127155,0.9204579591751099,1.104228949546814,0,
50,7,0,7,0,1,7,127160,0.9488633871078491,1.1490017414093017,0,
51,7,2,5,0,1,5,90815,0.9532368779182434,1.079368495941162,0,
52,7,0,7,0,1,7,127155,0.8097443580627441,1.1126235485076905,0,
53,7,1,6,0,0,6,108990,0.8650074601173401,1.0405831336975098,0,
54,7,1,6,0,1,6,108995,0.8684583008289337,1.0794740915298462,0,
55,7,1,6,0,0,6,109000,0.9566323161125183,1.5689983367919922,0,
56,7,1,6,0,1,6,108985,1.0488934218883514,1.2028595805168152,0,
57,7,0,7,0,0,7,127150,0.9248847365379333,1.2216940879821778,0,
58,7,0,7,0,0,7,127150,0.8155041933059692,1.2361829757690432,0,
59,7,1,6,0,0,6,109000,0.7754728198051453,1.0090120136737823,0,
60,7,1,6,0,0,6,108995,0.8334185481071472,1.1412728428840637,0,
61,7,1,6,0,0,6,108980,1.0279778838157654,1.1939164996147156,0,
62,7,1,6,0,1,6,108965,0.8123771250247955,1.0567157864570618,0,
